root, WNsense, synonyms, definition, Category
harmony,WID-01163320-A-??-harmonized,"(consonant, harmonic, harmonical, harmonized, harmonised)",involving or characterized by harmony,Not-a-Feeling
sympathy,WID-01163589-A-??-sympathetic,"(harmonic, sympathetic)","relating to vibrations that occur as a result of vibrations in a nearby body; ""sympathetic vibration""",Not-a-Feeling
TRUE,WID-01163759-A-??-true,"(on-key, true)","in tune; accurate in pitch; ""a true note""",Not-a-Feeling
pure,WID-01163860-A-??-pure,(pure),free from discordant qualities,Other
discord,WID-01164250-A-??-discordant,"(discordant, disharmonious, dissonant, inharmonic)",lacking in harmony,Actions
sour,WID-01164420-A-??-sour,"(false, off-key, sour)","inaccurate in pitch; ""a false (or sour) note""; ""her singing was off key""",Not-a-Feeling
resolve,WID-01164561-A-??-unresolved,"(unresolved, dissonant)",characterized by musical dissonance; harmonically unresolved,Not-a-Feeling
health,WID-01164763-A-??-healthful,(healthful),"conducive to good health of body or mind; ""a healthful climate""; ""a healthful environment""; ""healthful nutrition""; ""healthful sleep""; ""Dickens's relatively healthful exuberance""",Not-a-Feeling
habit,WID-01165043-V-??-habituate,"(use, habituate)","take or consume (regularly or habitually); ""She uses drugs rarely""",Not-a-Feeling
use,WID-01165043-V-??-use,"(use, habituate)","take or consume (regularly or habitually); ""She uses drugs rarely""",Not-a-Feeling
hook,WID-01165290-V-??-hook,"(addict, hook)","to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",Attraction
extend,WID-01165579-V-??-extend,"(strain, extend)","use to the utmost; exert vigorously or to full capacity; ""He really extended himself when he climbed Kilimanjaro""; ""Don't strain your mind too much""",Actions
strain,WID-01165579-V-??-strain,"(strain, extend)","use to the utmost; exert vigorously or to full capacity; ""He really extended himself when he climbed Kilimanjaro""; ""Don't strain your mind too much""",Actions
extend,WID-01165898-V-??-overextend,"(overstrain, overextend)","strain excessively; ""He overextended himself when he accepted the additional assignment""",Physiological
exercise,WID-01166093-V-??-exercise,"(exert, exercise)","put to use; ""exert one's power or influence""",Actions
eat,WID-01166351-V-??-eat,(eat),"eat a meal; take a meal; ""We did not eat until 10 P.M. because there were so many phone calls""; ""I didn't eat yet, so I gladly accept your invitation""",Not-a-Feeling
good,WID-01166413-A-??-good,"(good, salutary)","tending to promote physical well-being; beneficial to health; ""beneficial effects of a balanced diet""; ""a good night's sleep""; ""the salutary influence of pure air""",Not-a-Feeling
salutary,WID-01166413-A-??-salutary,"(good, salutary)","tending to promote physical well-being; beneficial to health; ""beneficial effects of a balanced diet""; ""a good night's sleep""; ""the salutary influence of pure air""",Not-a-Feeling
restore,WID-01167540-A-??-restorative,"(recuperative, restorative)","promoting recuperation; ""recuperative powers""; ""strongly recuperative remedies""; ""restorative effects of exercise""",Not-a-Feeling
eat,WID-01168468-V-??-eat,(eat),"take in solid food; ""She was eating a banana""; ""What did you eat for dinner last night?""",Not-a-Feeling
imbibe,WID-01170052-V-??-imbibe,"(drink, imbibe)","take in liquids; ""The patient must drink several liters each day""; ""The children like to drink soda""",Not-a-Feeling
health,WID-01170243-A-??-healthy,(healthy),"having or indicating good health in body or mind; free from infirmity or disease; ""a rosy healthy baby""; ""staying fit and healthy""",Physiological
lick,WID-01170983-V-??-lick,"(lap, lap_up, lick)","take up with the tongue; ""The cat lapped up the milk""; ""the cub licked the milk from its mother's breast""",Not-a-Feeling
firm,WID-01171076-A-??-firm,(firm),"possessing the tone and resiliency of healthy tissue; ""firm muscles""",Physiological
good,WID-01171213-A-??-good,"(good, sound)","in excellent physical condition; ""good teeth""; ""I still have one good leg""; ""a sound mind in a sound body""",Physiological
sound,WID-01171213-A-??-sound,"(good, sound)","in excellent physical condition; ""good teeth""; ""I still have one good leg""; ""a sound mind in a sound body""",Physiological
whole,WID-01171396-A-??-whole,"(hale, whole)","exhibiting or restored to vigorous good health; ""hale and hearty""; ""whole in mind and body""; ""a whole person again""",Physiological
heart,WID-01171606-A-??-hearty,(hearty),"consuming abundantly and with gusto; ""a hearty (or healthy) appetite""",Physiological
heart,WID-01171746-A-??-hearty,"(hearty, full-blooded, lusty, red-blooded)","endowed with or exhibiting great bodily or mental health; ""a hearty glow of health""",Physiological
sanguine,WID-01172139-A-??-sanguine,"(rubicund, ruddy, florid, sanguine)","inclined to a healthy reddish color often associated with outdoor life; ""a ruddy complexion""; ""Santa's rubicund cheeks""; ""a fresh and sanguine complexion""",Physiological
tope,WID-01172275-V-??-tope,"(drink, tope)","drink excessive amounts of alcohol; be an alcoholic; ""The husband drinks and beats his wife""",Not-a-Feeling
wholesome,WID-01172692-A-??-wholesome,(wholesome),"sound or exhibiting soundness in body or mind; ""exercise develops wholesome appetites""; ""a grin on his ugly wholesome face""",Physiological
partake,WID-01172701-V-??-partake,"(partake, touch)","consume; ""She didn't touch her food all night""",Not-a-Feeling
anger,WID-01173697-A-??-angry,(angry),"severely inflamed and painful; ""an angry sore""",Physiological
bad,WID-01174222-A-??-bad,"(bad, unfit, unsound)","physically unsound or diseased; ""has a bad back""; ""a bad heart""; ""bad teeth""; ""an unsound limb""; ""unsound teeth""",Physiological
unsound,WID-01174222-A-??-unsound,"(bad, unfit, unsound)","physically unsound or diseased; ""has a bad back""; ""a bad heart""; ""bad teeth""; ""an unsound limb""; ""unsound teeth""",Physiological
ruminate,WID-01174555-V-??-ruminate,(ruminate),"chew the cuds; ""cows ruminate""",Not-a-Feeling
puff,WID-01174565-A-??-puffy,"(puffy, intumescent, tumescent, tumid, turgid)","abnormally distended especially by fluids or gas; ""hungry children with bloated stomachs""; ""he had a grossly distended stomach""; ""eyes with puffed (or puffy) lids""; ""swollen hands""; ""tumescent tissue""; ""puffy tumid flesh""",Physiological
turgid,WID-01174565-A-??-turgid,"(puffy, intumescent, tumescent, tumid, turgid)","abnormally distended especially by fluids or gas; ""hungry children with bloated stomachs""; ""he had a grossly distended stomach""; ""eyes with puffed (or puffy) lids""; ""swollen hands""; ""tumescent tissue""; ""puffy tumid flesh""",Physiological
browse,WID-01174742-V-??-browse,"(browse, graze)","eat lightly, try different dishes; ""There was so much food at the party that we quickly got sated just by browsing""",Not-a-Feeling
mumble,WID-01175224-V-??-mumble,"(mumble, gum)","grind with the gums; chew without teeth and with great difficulty; ""the old man had no teeth left and mumbled his food""",Not-a-Feeling
pledge,WID-01175467-V-??-pledge,"(toast, drink, pledge, salute, wassail)","propose a toast to; ""Let us toast the birthday girl!""; ""Let's drink to the New Year""",Not-a-Feeling
flatulent,WID-01175741-A-??-flatulent,"(colicky, flatulent, gassy)",suffering from excessive gas in the alimentary canal,Physiological
give,WID-01175810-V-??-give,(give),"propose; ""He gave the first of many toasts at the birthday party""",Not-a-Feeling
mess,WID-01176079-V-??-mess,(mess),eat in a mess hall,Not-a-Feeling
morbid,WID-01176246-A-??-morbid,"(diseased, morbid, pathologic, pathological)","caused by or altered by or manifesting disease or pathology; ""diseased tonsils""; ""a morbid growth""; ""pathologic tissue""; ""pathological bodily processes""",Not-a-Feeling
board,WID-01176897-V-??-board,(board),"provide food and lodging (for); ""The old lady is boarding three men""",Not-a-Feeling
mortify,WID-01176973-A-??-mortified,"(gangrenous, mortified)",suffering from tissue death,Not-a-Feeling
board,WID-01177118-V-??-board,(board),lodge and take meals (at),Not-a-Feeling
jaundice,WID-01177556-A-??-jaundiced,"(jaundiced, icteric, yellow)",affected by jaundice which causes yellowing of skin etc,Physiological
yellow,WID-01177556-A-??-yellow,"(jaundiced, icteric, yellow)",affected by jaundice which causes yellowing of skin etc,Physiological
raven,WID-01177857-V-??-raven,(raven),"feed greedily; ""The lions ravened the bodies""",Not-a-Feeling
sickly,WID-01178134-A-??-sickly,"(sallow, sickly)",unhealthy looking,Physiological
give,WID-01178565-V-??-give,"(feed, give)","give food to; ""Feed the starving children in India""; ""don't give the child this tough meat""",Not-a-Feeling
dry,WID-01178669-A-??-dry,(dry),"without a mucous or watery discharge; ""a dry cough""; ""that rare thing in the wintertime; a small child with a dry nose""",Physiological
corn,WID-01179155-V-??-corn,(corn),feed (cattle) with corn,Not-a-Feeling
celestial,WID-01179345-A-??-celestial,"(celestial, ethereal, supernal)","of heaven or the spirit; ""celestial peace""; ""ethereal melodies""; ""the supernal happiness of a quiet death""",Not-a-Feeling
divine,WID-01179547-A-??-divine,"(divine, godly)","emanating from God; ""divine judgment""; ""divine guidance""; ""everything is black or white...satanic or godly""-Saturday Review",Other
divine,WID-01179767-A-??-divine,"(divine, godlike)","being or having the nature of a god; ""the custom of killing the divine king upon any serious failure of his...powers""-J.G.Frazier; ""the divine will""; ""the divine capacity for love""; ""'Tis wise to learn; 'tis God-like to create""-J.G.Saxe",Other
godlike,WID-01179767-A-??-godlike,"(divine, godlike)","being or having the nature of a god; ""the custom of killing the divine king upon any serious failure of his...powers""-J.G.Frazier; ""the divine will""; ""the divine capacity for love""; ""'Tis wise to learn; 'tis God-like to create""-J.G.Saxe",Other
eat,WID-01179865-V-??-eat,"(feed, eat)","take in food; used of animals only; ""This dog doesn't eat certain kinds of meat""; ""What do whales eat?""",Not-a-Feeling
divine,WID-01180363-A-??-divine,"(providential, divine)","resulting from divine providence; ""providential care""; ""a providential visitation""",Not-a-Feeling
pander,WID-01180975-V-??-pander,"(pander, pimp, procure)",arrange for sexual partners for others,Not-a-Feeling
help,WID-01181295-V-??-help,"(serve, help)","help to some food; help with food or drink; ""I served him three times, and after that he helped himself""",Not-a-Feeling
power,WID-01181559-V-??-power,(power),"supply the force or power for the functioning of; ""The gasoline powers the engines""",Not-a-Feeling
indulge,WID-01182293-V-??-indulge,"(gratify, pander, indulge)",yield (to); give satisfaction to,Hedonics
pander,WID-01182293-V-??-pander,"(gratify, pander, indulge)",yield (to); give satisfaction to,Hedonics
light,WID-01182414-A-??-light,(light),"easily assimilated in the alimentary canal; not rich or heavily seasoned; ""a light diet""",Not-a-Feeling
ply,WID-01182709-V-??-ply,"(provide, supply, ply, cater)","give what is desired or needed, especially support, food or sustenance; ""The hostess provided lunch for all the guests""",Not-a-Feeling
flatulent,WID-01182974-A-??-flatulent,(flatulent),generating excessive gas in the alimentary canal,Physiological
heavy,WID-01183114-A-??-heavy,(heavy),"dense or inadequately leavened and hence likely to cause distress in the alimentary canal; ""a heavy pudding""",Not-a-Feeling
underlay,WID-01183424-V-??-underlay,(underlay),"provide with a base, support, lining, or backing; ""underlay the boards with joists""",Not-a-Feeling
stodgy,WID-01183436-A-??-stodgy,(stodgy),"heavy and starchy and hard to digest; ""stodgy food""; ""a stodgy pudding served up when everyone was already full""",Not-a-Feeling
heavy,WID-01184932-A-??-heavy,(heavy),"of comparatively great physical weight or density; ""a heavy load""; ""lead is a heavy metal""; ""heavy mahogany furniture""",Not-a-Feeling
doughy,WID-01185417-A-??-doughy,"(doughy, soggy)","having the consistency of dough because of insufficient leavening or improper cooking; ""the cake fell; it's a doughy mess""",Not-a-Feeling
light,WID-01186408-A-??-light,(light),"of comparatively little physical weight or density; ""a light load""; ""magnesium is a light metal--having a specific gravity of 1.74 at 20 degrees C""",Other
air,WID-01186913-A-??-airy,(airy),"having little or no perceptible weight; so light as to resemble air; ""airy gauze curtains""",Not-a-Feeling
buoy,WID-01187072-A-??-buoyant,"(buoyant, floaty)","tending to float on a liquid or rise in air or gas; ""buoyant balloons""; ""buoyant balsawood boats""; ""a floaty scarf""",Not-a-Feeling
weight,WID-01187611-A-??-weighty,(weighty),"having relatively great weight; heavy; ""a weighty load""; ""a weighty package""",Not-a-Feeling
weight,WID-01187777-A-??-weightless,(weightless),"having little or no weight or apparent gravitational pull; light; ""floating freely in a weightless condition""; ""a baby bat...fluffy and weightless as a moth""; ""jackets made of a weightless polyester fabric""",Not-a-Feeling
hunger,WID-01188144-V-??-hunger,"(starve, hunger, famish)","be hungry; go without food; ""Let's eat--I'm starving!""",Physiological
light,WID-01188186-A-??-light,(light),"designed for ease of movement or to carry little weight; ""light aircraft""; ""a light truck""",Not-a-Feeling
hunger,WID-01188485-V-??-hunger,"(crave, hunger, thirst, starve, lust)","have a craving, appetite, or great desire for",Attraction
lust,WID-01188485-V-??-lust,"(crave, hunger, thirst, starve, lust)","have a craving, appetite, or great desire for",Attraction
thirst,WID-01188485-V-??-thirst,"(crave, hunger, thirst, starve, lust)","have a craving, appetite, or great desire for",Attraction
heavy,WID-01188491-A-??-heavy,(heavy),"large and powerful; especially designed for heavy loads or rough work; ""a heavy truck""; ""heavy machinery""",Other
need,WID-01188725-V-??-need,"(want, need, require)","have need of; ""This piano wants the attention of a competent tuner""",Not-a-Feeling
heavy,WID-01188762-A-??-heavy,(heavy),"marked by great psychological weight; weighted down especially with sadness or troubles or weariness; ""a heavy heart""; ""a heavy schedule""; ""heavy news""; ""a heavy silence""; ""heavy eyelids""",Physiological
cry,WID-01188987-V-??-cry,(cry),"demand immediate action; ""This situation is crying for attention""",Not-a-Feeling
need,WID-01189113-V-??-need,(need),"have or feel a need for; ""always needing friends and money""",Not-a-Feeling
distress,WID-01189386-A-??-distressful,"(distressing, distressful, disturbing, perturbing, troubling, worrisome, worrying)","causing distress or worry or anxiety; ""distressing (or disturbing) news""; ""lived in heroic if something distressful isolation""; ""a disturbing amount of crime""; ""a revelation that was most perturbing""; ""a new and troubling thought""; ""in a particularly worrisome predicament""; ""a worrying situation""; ""a worrying time""",Not-a-Feeling
distress,WID-01189386-A-??-distressing,"(distressing, distressful, disturbing, perturbing, troubling, worrisome, worrying)","causing distress or worry or anxiety; ""distressing (or disturbing) news""; ""lived in heroic if something distressful isolation""; ""a disturbing amount of crime""; ""a revelation that was most perturbing""; ""a new and troubling thought""; ""in a particularly worrisome predicament""; ""a worrying situation""; ""a worrying time""",Not-a-Feeling
avoid,WID-01189823-V-??-avoid,"(keep_off, avoid)","refrain from certain foods or beverages; ""I keep off drugs""; ""During Ramadan, Muslims avoid tobacco during the day""",Not-a-Feeling
lead,WID-01189853-A-??-leaden,"(leaden, weighted)","made heavy or weighted down with weariness; ""his leaden arms""; ""weighted eyelids""",Physiological
oppress,WID-01189998-A-??-oppressive,(oppressive),"weighing heavily on the senses or spirit; ""the atmosphere was oppressive""; ""oppressive sorrows""",Not-a-Feeling
weight,WID-01190168-A-??-weighty,(weighty),"weighing heavily on the spirit; causing anxiety or worry; ""weighty problems""",Not-a-Feeling
soak,WID-01190277-V-??-soak,"(souse, soak, inebriate, hit_it_up)",become drunk or drink excessively,Physiological
light,WID-01190316-A-??-light,(light),"psychologically light; especially free from sadness or troubles; ""a light heart""",Wellbeing
casual,WID-01190484-A-??-casual,"(fooling, casual)","characterized by a feeling of irresponsibility; ""a broken back is nothing to be casual about; it is no fooling matter""",Actions
intoxicate,WID-01190494-V-??-intoxicate,"(intoxicate, soak, inebriate)",make drunk (with alcoholic drinks),Physiological
soak,WID-01190494-V-??-soak,"(intoxicate, soak, inebriate)",make drunk (with alcoholic drinks),Physiological
heavy,WID-01190683-A-??-heavy,(heavy),"unusually great in degree or quantity or number; ""heavy taxes""; ""a heavy fine""; ""heavy casualties""; ""heavy losses""; ""heavy rain""; ""heavy traffic""",Not-a-Feeling
harsh,WID-01190916-A-??-harsh,(harsh),"severe; ""a harsh penalty""",Not-a-Feeling
delight,WID-01190948-V-??-delight,"(delight, enjoy, revel)","take delight in; ""he delights in his granddaughter""",Hedonics
enjoy,WID-01190948-V-??-enjoy,"(delight, enjoy, revel)","take delight in; ""he delights in his granddaughter""",Not-a-Feeling
revel,WID-01190948-V-??-revel,"(delight, enjoy, revel)","take delight in; ""he delights in his granddaughter""",Not-a-Feeling
light,WID-01190993-A-??-light,(light),"not great in degree or quantity or number; ""a light sentence""; ""a light accent""; ""casualties were light""; ""light snow was falling""; ""light misty rain""; ""light smoke from the chimney""",Not-a-Feeling
opinion,WID-01191158-N-??-opinion,"(opinion, ruling)",the reason for a court's judgment (as opposed to the decision itself),Not-a-Feeling
heavy,WID-01191227-A-??-heavy,(heavy),"(physics, chemistry) being or containing an isotope with greater than average atomic mass or weight; ""heavy hydrogen""; ""heavy water""",Not-a-Feeling
light,WID-01191448-A-??-light,(light),"(physics, chemistry) not having atomic weight greater than average; ""light water is ordinary water""",Not-a-Feeling
heavy,WID-01191618-A-??-heavy,(heavy),"of great intensity or power or force; ""a heavy blow""; ""the fighting was heavy""; ""heavy seas""",Not-a-Feeling
indulge,WID-01191645-V-??-indulge,"(indulge, luxuriate)","enjoy to excess; ""She indulges in ice cream""",Hedonics
luxury,WID-01191645-V-??-luxuriate,"(indulge, luxuriate)","enjoy to excess; ""She indulges in ice cream""",Hedonics
big,WID-01191780-A-??-big,(big),"marked by intense physical force; ""a big wind""",Not-a-Feeling
light,WID-01191876-A-??-light,(light),"of little intensity or power or force; ""the light touch of her fingers""; ""a light breeze""",Not-a-Feeling
gentle,WID-01192035-A-??-gentle,"(easy, gentle, soft)","having little impact; ""an easy pat on the shoulder""; ""gentle rain""; ""a gentle breeze""; ""a soft (or light) tapping at the window""",Not-a-Feeling
soft,WID-01192035-A-??-soft,"(easy, gentle, soft)","having little impact; ""an easy pat on the shoulder""; ""gentle rain""; ""a gentle breeze""; ""a soft (or light) tapping at the window""",Not-a-Feeling
dunk,WID-01192312-V-??-dunk,"(dunk, dip)","dip into a liquid while eating; ""She dunked the piece of bread in the sauce""",Not-a-Feeling
light,WID-01192393-A-??-light,"(light, lightsome, tripping)","moving easily and quickly; nimble; ""the dancer was light and graceful""; ""a lightsome buoyant step""; ""walked with a light tripping step""",Actions
lightsome,WID-01192393-A-??-lightsome,"(light, lightsome, tripping)","moving easily and quickly; nimble; ""the dancer was light and graceful""; ""a lightsome buoyant step""; ""walked with a light tripping step""",Actions
enjoy,WID-01192510-V-??-enjoy,(enjoy),"have benefit from; ""enjoy privileges""",Not-a-Feeling
heavy,WID-01192786-A-??-heavy,"(heavy, lumbering, ponderous)","slow and laborious because of weight; ""the heavy tread of tired troops""; ""moved with a lumbering sag-bellied trot""; ""ponderous prehistoric beasts""; ""a ponderous yawn""",Physiological
light,WID-01193046-A-??-light,(light),"of the military or industry; using (or being) relatively small or light arms or equipment; ""light infantry""; ""light cavalry""; ""light industry""; ""light weapons""",Not-a-Feeling
binge,WID-01193099-V-??-binge,"(gorge, ingurgitate, overindulge, glut, englut, stuff, engorge, overgorge, overeat, gormandize, gormandise, gourmandize, binge, pig_out, satiate, scarf_out)","overeat or eat immodestly; make a pig of oneself; ""She stuffed herself at the dinner""; ""The kids binged on ice cream""",Not-a-Feeling
eat,WID-01193099-V-??-overeat,"(gorge, ingurgitate, overindulge, glut, englut, stuff, engorge, overgorge, overeat, gormandize, gormandise, gourmandize, binge, pig_out, satiate, scarf_out)","overeat or eat immodestly; make a pig of oneself; ""She stuffed herself at the dinner""; ""The kids binged on ice cream""",Not-a-Feeling
satiate,WID-01193099-V-??-satiate,"(gorge, ingurgitate, overindulge, glut, englut, stuff, engorge, overgorge, overeat, gormandize, gormandise, gourmandize, binge, pig_out, satiate, scarf_out)","overeat or eat immodestly; make a pig of oneself; ""She stuffed herself at the dinner""; ""The kids binged on ice cream""",Physiological
heavy,WID-01193373-A-??-heavy,(heavy),"of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment; ""heavy artillery""; ""heavy infantry""; ""a heavy cruiser""; ""heavy guns""; ""heavy industry involves large-scale production of basic products (such as steel) used by other industries""",Not-a-Feeling
help,WID-01193569-V-??-help,"(avail, help)","take or use; ""She helped herself to some of the office supplies""",Not-a-Feeling
sate,WID-01193721-V-??-sate,"(satiate, sate, replete, fill)","fill to satisfaction; ""I am sated""",Physiological
satiate,WID-01193721-V-??-satiate,"(satiate, sate, replete, fill)","fill to satisfaction; ""I am sated""",Physiological
regardless,WID-01194099-A-??-regardless,"(careless, regardless)","(usually followed by `of') without due thought or consideration; ""careless of the consequences""; ""crushing the blooms with regardless tread""",Not-a-Feeling
appease,WID-01194114-V-??-appease,"(quell, stay, appease)","overcome or allay; ""quell my hunger""",Actions
indifferent,WID-01194328-A-??-indifferent,"(deaf, indifferent)","(usually followed by `to') unwilling or refusing to pay heed; ""deaf to her warnings""",Attention
attentive,WID-01194483-A-??-attentive,"(heedful, attentive, thoughtful, paying_attention)","taking heed; giving close and thoughtful attention; ""heedful of the warnings""; ""so heedful a writer""; ""heedful of what they were doing""",Attention
taste,WID-01195299-V-??-taste,"(sample, try, try_out, taste)","take a sample of; ""Try these new crackers""; ""Sample the regional dishes""",Not-a-Feeling
dissipate,WID-01195804-V-??-dissipate,"(fritter, frivol_away, dissipate, shoot, fritter_away, fool, fool_away)","spend frivolously and unwisely; ""Fritter away one's inheritance""",Not-a-Feeling
fool,WID-01195804-V-??-fool,"(fritter, frivol_away, dissipate, shoot, fritter_away, fool, fool_away)","spend frivolously and unwisely; ""Fritter away one's inheritance""",Not-a-Feeling
kick,WID-01196524-V-??-kick,"(kick, give_up)","stop consuming; ""kick a habit""; ""give up alcohol""",Not-a-Feeling
raven,WID-01196653-V-??-raven,"(devour, guttle, raven, pig)","eat greedily; ""he devoured three sandwiches""",Not-a-Feeling
consume,WID-01197014-V-??-consume,"(devour, down, consume, go_through)","eat immoderately; ""Some people can down a pound of meat in the course of one meal""",Not-a-Feeling
digest,WID-01197338-V-??-digest,(digest),"convert food into absorbable substances; ""I cannot digest milk products""",Not-a-Feeling
reformatory,WID-01197386-A-??-reformatory,"(reformative, reformatory)","tending to reform; ""reformative and rehabilitative agencies""; ""reformatory punishment""",Not-a-Feeling
stomach,WID-01197626-V-??-stomach,(stomach),"bear to eat; ""He cannot stomach raw fish""",Not-a-Feeling
puff,WID-01198616-V-??-puff,"(puff, whiff)","smoke and exhale strongly; ""puff a cigar""; ""whiff a pipe""",Not-a-Feeling
whiff,WID-01198616-V-??-whiff,"(puff, whiff)","smoke and exhale strongly; ""puff a cigar""; ""whiff a pipe""",Not-a-Feeling
inhale,WID-01198779-V-??-inhale,(inhale),"draw deep into the lungs in by breathing; ""Clinton smoked marijuana but never inhaled""",Not-a-Feeling
puff,WID-01199009-V-??-puff,"(puff, drag, draw)","suck in or take (air); ""draw a deep breath""; ""draw on a cigarette""",Not-a-Feeling
mix,WID-01199083-A-??-mixed,"(assorted, miscellaneous, mixed, motley, sundry)","consisting of a haphazard assortment of different kinds; ""an arrangement of assorted spring flowers""; ""assorted sizes""; ""miscellaneous accessories""; ""a mixed program of baroque and contemporary music""; ""a motley crew""; ""sundry sciences commonly known as social""- I.A.Richards",Not-a-Feeling
light,WID-01199881-V-??-light,"(light_up, fire_up, light)","begin to smoke; ""After the meal, some of the diners lit up""",Not-a-Feeling
base,WID-01200068-V-??-base,"(free-base, base)",use (purified cocaine) by burning it and inhaling the fumes,Not-a-Feeling
solid,WID-01200339-A-??-solid,(solid),"of one substance or character throughout; ""solid gold""; ""carved out of solid rock""",Not-a-Feeling
solid,WID-01200491-A-??-solid,"(solid, self-colored, self-coloured)","of the same color throughout; ""solid color""",Not-a-Feeling
dope,WID-01200806-V-??-dope,(dope),take drugs to improve one's athletic performance,Physiological
masticate,WID-01201089-V-??-masticate,"(chew, masticate, manducate, jaw)","chew (food); to bite and grind with the teeth; ""He jawed his bubble gum""; ""Chew your food and don't swallow it!""; ""The cows were masticating the grass""",Not-a-Feeling
heterosexual,WID-01201100-A-??-heterosexual,(heterosexual),sexually attracted to members of the opposite sex,Attraction
homosexual,WID-01201422-A-??-homosexual,(homosexual),sexually attracted to members of your own sex,Attraction
crunch,WID-01201693-V-??-crunch,"(crunch, munch)","chew noisily; ""The children crunched the celery sticks""",Not-a-Feeling
swallow,WID-01201856-V-??-swallow,"(swallow, get_down)","pass through the esophagus as part of eating or drinking; ""Swallow the raw fish--it won't kill you!""",Not-a-Feeling
gay,WID-01201937-A-??-gay,"(gay, queer, homophile)",homosexual or arousing homosexual desires,Other
queer,WID-01201937-A-??-queer,"(gay, queer, homophile)",homosexual or arousing homosexual desires,Other
gulp,WID-01202068-V-??-gulp,"(gulp, quaff, swig)","to swallow hurriedly or greedily or in one draught; ""The men gulped down their beers""",Not-a-Feeling
nurture,WID-01202728-V-??-nurture,"(nourish, nurture, sustain)","provide with nourishment; ""We sustained ourselves on bread and water""; ""This kind of food is not nourishing for young children""",Not-a-Feeling
prey,WID-01203500-V-??-prey,"(raven, prey, predate)","prey on or hunt for; ""These mammals predate certain eggs""",Not-a-Feeling
raven,WID-01203500-V-??-raven,"(raven, prey, predate)","prey on or hunt for; ""These mammals predate certain eggs""",Not-a-Feeling
prey,WID-01203715-V-??-prey,"(prey, feed)","profit from in an exploitatory manner; ""He feeds on her insecurity""",Not-a-Feeling
allay,WID-01204021-V-??-allay,"(quench, slake, allay, assuage)","satisfy (thirst); ""The cold water quenched his thirst""",Physiological
assuage,WID-01204021-V-??-assuage,"(quench, slake, allay, assuage)","satisfy (thirst); ""The cold water quenched his thirst""",Physiological
quench,WID-01204021-V-??-quench,"(quench, slake, allay, assuage)","satisfy (thirst); ""The cold water quenched his thirst""",Physiological
luxury,WID-01204803-V-??-luxuriate,"(luxuriate, wanton)",become extravagant; indulge (oneself) luxuriously,Not-a-Feeling
wanton,WID-01204803-V-??-wanton,"(luxuriate, wanton)",become extravagant; indulge (oneself) luxuriously,Hedonics
burn,WID-01205000-V-??-burn,"(burn_off, burn, burn_up)","use up (energy); ""burn off calories through vigorous exercise""",Not-a-Feeling
lofty,WID-01205473-A-??-lofty,"(eminent, lofty, soaring, towering)","of imposing height; especially standing out above others; ""an eminent peak""; ""lofty mountains""; ""the soaring spires of the cathedral""; ""towering icebergs""",Other
steep,WID-01206164-A-??-steep,(steep),"of a slope; set at a high angle; ""note the steep incline""; ""a steep roof sheds snow""",Not-a-Feeling
upper,WID-01206318-A-??-upper,(upper),"higher in place or position; ""the upper bunk""; ""in the upper center of the picture""; ""the upper stories""",Not-a-Feeling
low,WID-01206474-A-??-low,(low),"literal meanings; being at or having a relatively small elevation or upward extension; ""low ceilings""; ""low clouds""; ""low hills""; ""the sun is low""; ""low furniture""; ""a low bow""",Not-a-Feeling
deep,WID-01206916-A-??-deep,(deep),"with head or back bent low; ""a deep bow""",Not-a-Feeling
pin,WID-01207149-V-??-pin,"(trap, pin, immobilize, immobilise)","to hold fast or prevent from moving; ""The child was pinned under the fallen tree""",Actions
elevate,WID-01208044-A-??-elevated,(elevated),"raised above the ground; ""an elevated platform""",Not-a-Feeling
upraise,WID-01208221-A-??-upraised,"(upraised, lifted)","held up in the air; ""stood with arms upraised""; ""her upraised flag""",Not-a-Feeling
frost,WID-01208400-V-??-frost,(frost),"cover with frost; ""ice crystals frosted the glass""",Not-a-Feeling
frost,WID-01208549-V-??-frost,(frost),"provide with a rough or speckled surface or appearance; ""frost the glass""; ""she frosts her hair""",Not-a-Feeling
hit,WID-01209135-V-??-hit,"(hit, strike)","affect or afflict suddenly, usually adversely; ""We were hit by really bad weather""; ""He was stricken with cancer when he was still a teenager""; ""The earthquake struck at midnight""",Wellbeing
relief,WID-01209220-N-??-relief,"(relief, succor, succour, ministration)","assistance in time of difficulty; ""the contributions provided some relief for the victims""",Not-a-Feeling
hit,WID-01209426-V-??-hit,"(strike, hit)","produce by manipulating keys or strings of musical instruments, also metaphorically; ""The pianist strikes a middle C""; ""strike `z' on the keyboard""; ""her comments struck a sour note""",Not-a-Feeling
feel,WID-01209678-V-??-feel,"(feel, finger)","examine by touch; ""Feel this soft cloth!""; ""The customer fingered the sweater""",Social
finger,WID-01209678-V-??-finger,"(feel, finger)","examine by touch; ""Feel this soft cloth!""; ""The customer fingered the sweater""",Social
finger,WID-01209953-V-??-finger,"(finger, thumb)","feel or handle with the fingers; ""finger the binding of the book""",Not-a-Feeling
feel,WID-01210152-V-??-feel,(feel),"pass one's hands over the sexual organs of; ""He felt the girl in the movie theater""",Not-a-Feeling
